Category,Course Code,Course Name,Section,MeetingTimes,Dates,Instructor,Notes,Class Nbr,Specialization #1,Specialization #2,Specialization #3,Specialization #4,Specialization #5,Specialization #6,Specialization #7,Specialization #8,Days,Times,Credits
"Accounting, Taxation and Business Law",ACCT-GB.2170,Accounting and the Blockchain (1.5),10,MW 4:55 pm - 6:10 pm,09/21-11/02,"Shehata,A",Cross-listed with undergraduate school,22301,Accounting,FinTech,,,,,,,MW,4:55 pm - 6:10 pm,1.5
"Accounting, Taxation and Business Law",ACCT-GB.2302,Financial Reporting and Disclosure (3),01,,09/02-12/13,,This course is cross-listed and meets during undergraduate dates/times.,22254,Accounting,,,,,,,,N/A,,3
"Accounting, Taxation and Business Law",ACCT-GB.2303,An Integrated Approach to Financial Statement Analysis (3),01,MW 1:30 pm - 2:50 pm,09/02-12/09,"Yeo,J",,21756,Accounting,,,,,,,,MW,1:30 pm - 2:50 pm,3
"Accounting, Taxation and Business Law",ACCT-GB.3120,Analysis of Financial Institutions (1.5),10,W 6:00 pm - 9:00 pm,09/23-10/28,"Gode,D/Ryan,S",Cross-listed with undergraduate school,22258,Accounting,,,,,,,,W,6:00 pm - 9:00 pm,1.5
"Accounting, Taxation and Business Law",ACCT-GB.3124,Accounting for Sustainability (1.5),01,,09/02-10/21,,,21999,Accounting,Sustainable Business and Innovation,,,,,,,N/A,,1.5
"Accounting, Taxation and Business Law",ACCT-GB.3304,Modeling Financial Statements (3),10,M 6:00 pm - 9:00 pm,09/21-12/14,"Gode,D",,21757,Accounting,Financial Systems & Analytics,,,,,,,M,6:00 pm - 9:00 pm,3
"Accounting, Taxation and Business Law",ACCT-GB.3313,Auditing (3),01,TR 2:00 pm - 3:15 pm,09/02-12/13,"Shehata,A",Cross-listed with undergraduate school,22255,Accounting,,,,,,,,TR,2:00 pm - 3:15 pm,3
"Accounting, Taxation and Business Law",ACCT-GB.3344,Modeling Corporate Transactions (Advanced Modeling) (3),10,T 6:00 pm - 9:00 pm,09/22-12/08,"Gode,D",,21758,Accounting,Financial Systems & Analytics,,,,,,,T,6:00 pm - 9:00 pm,3
"Accounting, Taxation and Business Law",ACCT-GB.3380,Taxation of Individuals and Business Income (3),01,MW 8:00 am - 9:15 am,09/02-12/13,"Thomopoulos,J/Meisler,M",Cross-listed with undergraduate school,22256,Accounting,,,,,,,,MW,8:00 am - 9:15 am,3
Business and Society,BSPA-GB.2300,Real Estate Transactions (3),10,W 6:00 pm - 9:00 pm,09/23-12/16,"Calderon,J",Cross-listed with undergraduate school,21752,Real Estate,,,,,,,,W,6:00 pm - 9:00 pm,3
Business and Society,BSPA-GB.2305,Sustainability for Competitive Advantage (3),10,T 6:00 pm - 9:00 pm,09/22-12/08,"Eckerle,K",,22594,Leadership and Change Management,Supply Chain Management & Global Sourcing,Sustainable Business and Innovation,,,,,,T,6:00 pm - 9:00 pm,3
Business and Society,BSPA-GB.2306,Social Entrepreneurship in Sustainable Food Business (3),01,R 9:00 am - 10:40 am,09/02-12/13,"Taparia,H",Cross-listed with Steinhardt,21754,Entrepreneurship and Innovation,Product Management,Sustainable Business and Innovation,,,,,,R,9:00 am - 10:40 am,3
Business and Society,BSPA-GB.2308,Driving Market Solutions for Clean Energy (3),10,,09/24-12/17,,,21909,Sustainable Business and Innovation,,,,,,,,N/A,,3
Business and Society,BSPA-GB.2314,Business Law (3),01,MW 3:00 pm - 4:20 pm,09/02-12/09,"Hendler,R",,21748,Law & Business,,,,,,,,MW,3:00 pm - 4:20 pm,3
Business and Society,BSPA-GB.3110,"Work, Wisdom, and Happiness (1.5)",10,M 6:00 pm - 9:00 pm,09/21-11/02,"Dewji,M",,21977,Sustainable Business and Innovation,,,,,,,,M,6:00 pm - 9:00 pm,1.5
Business and Society,BSPA-GB.3110,"Work, Wisdom, and Happiness (1.5)",11,M 6:00 pm - 9:00 pm,11/09-12/14,"Haidt,J",,21880,Sustainable Business and Innovation,,,,,,,,M,6:00 pm - 9:00 pm,1.5
Business and Society,BSPA-GB.3305,"Global Markets, Human Rights, and the Press (3)",10,R 6:00 pm - 9:00 pm,09/24-12/17,"Posner,M",,23068,Global Business,Sustainable Business and Innovation,,,,,,,R,6:00 pm - 9:00 pm,3
Business and Society,BSPA-GB.3344,Fashion Law & Business (3),10,M 6:10 pm - 9:10 pm,09/21-12/14,"Hendler,R",Cross-listed with the Law School,21917,Law & Business,Luxury Marketing,,,,,,,M,6:10 pm - 9:10 pm,3
Business and Society,BSPA-GB.3362,Corporate Turnarounds and Leadership (3),10,T 6:00 pm - 9:00 pm,09/22-12/08,"Brenner,K/Scott,H",Cross-listed with the Law School,21753,Law & Business,Leadership and Change Management,,,,,,,T,6:00 pm - 9:00 pm,3
Core Courses,COR1-GB.1302,Leadership in Organizations (3),91,M 6:00 pm - 9:00 pm,09/21-12/14,"Milliken,F","Westchester
2020 Admits - TEAL",21666,,,,,,,,,M,6:00 pm - 9:00 pm,3
